NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00001,254,2468,143801,41707,122964,55,2523,N/A,14495,11353,28219
00002,432,941,3654,325,3460,161,1102,N/A,433,66,765
00003,16709,2159,118216,200,138023,0,2159,N/A,441967,86505,TIMEOUT
00004,16705,2107,130958,170,152850,0,2107,N/A,445869,76188,TIMEOUT
00005,16705,2107,126580,170,147796,0,2107,N/A,447283,78837,TIMEOUT
00006,1075,165,0,0,0,0,165,N/A,3,0,183
00007,22,168,22,5,18,0,168,N/A,18,4,119
00008,22,168,22,5,18,0,168,N/A,18,4,116
00009,22,168,22,5,18,0,168,N/A,17,4,112
00010,22,168,22,5,18,0,168,N/A,20,4,134
00011,22,168,22,5,18,0,168,N/A,18,4,127
00012,13,277,20,6,17,0,277,N/A,14,3,121
00013,76,1265,737717,265247,489119,105,1370,N/A,113887,145414,270965
00014,139,1533,1570905,607296,988728,203,1734,N/A,204441,371539,TIMEOUT
00015,13,345,3107,1249,2039,11,356,N/A,736,90,1078
00016,65,1055,775456,279710,508601,87,1142,N/A,104012,230764,345758
00017,65,1177,533316,207131,339282,87,1264,N/A,78898,77117,164571
00018,85,1129,1088976,383273,718847,126,1253,N/A,143824,185590,346184
00019,68,1078,795829,323295,487504,90,1168,N/A,130485,168948,313919
00020,83,1310,1168524,461076,729202,120,1430,N/A,187036,392130,TIMEOUT
00021,110,1190,1515961,703263,828151,152,1340,N/A,187703,388012,TIMEOUT
00022,13,425,3522,1409,2294,11,436,N/A,756,119,1153
00023,13,429,2570,1017,1734,11,440,N/A,634,76,963
00024,139,1533,1847470,590338,1282499,149,1680,N/A,224466,354990,TIMEOUT
00025,68,987,574,126,471,24,1011,N/A,219,20,497
00026,23858,30697,62245,10113,53691,6,30703,N/A,553626,5704,TIMEOUT
00027,23858,31647,43292,5112,39885,6,31653,N/A,569974,4628,TIMEOUT
00028,23858,31647,29501,8379,22419,6,31653,N/A,573063,3153,TIMEOUT
00029,1776,4039,47391,0,56084,0,4039,N/A,542110,47507,TIMEOUT
00030,2096,3626,143678,0,149510,0,3626,N/A,510618,73079,TIMEOUT
00031,2096,3626,187296,0,192942,0,3626,N/A,508741,76435,TIMEOUT
00032,2096,4039,41647,0,49878,0,4039,N/A,544982,44363,TIMEOUT
00033,12339,9462,75138,7684,75497,1,9463,N/A,514971,43807,TIMEOUT
00034,12339,9364,441717,58579,429156,45107,54471,N/A,497441,24948,TIMEOUT
00035,12339,9462,89214,8068,89561,1,9463,N/A,507839,47307,TIMEOUT
00036,12329,9456,71757,7247,72087,1,9457,N/A,521369,37651,TIMEOUT
00037,12323,9445,102279,9676,102644,1,9446,N/A,506651,51830,TIMEOUT
00038,12339,9457,76560,8837,76905,1,9458,N/A,530994,29713,TIMEOUT
00039,2437,4826,251034,0,257970,0,4826,N/A,464536,119308,TIMEOUT
00040,43622,100787,57515,2812,58355,0,100787,N/A,519728,14635,TIMEOUT
00041,14319,67437,188417,433,196495,427,67864,N/A,495240,25456,TIMEOUT
00042,15417,71082,180890,822,191293,813,71895,N/A,504783,35066,TIMEOUT
00043,18612,115810,182261,512,190617,490,116300,N/A,497511,35696,TIMEOUT
00044,14319,67400,168117,433,177906,427,67827,N/A,491192,54235,TIMEOUT
00045,42430,98673,41804,6262,41814,290,98963,N/A,450342,3067,TIMEOUT
00046,15352,69253,172961,433,183083,427,69680,N/A,497797,43822,TIMEOUT
00047,14431,67545,163275,435,173382,427,67972,N/A,491992,49780,TIMEOUT
00049,15,51,90,33,65,8,59,N/A,69,9,167
00050,15,51,90,33,65,8,59,N/A,67,9,174
00051,0,0,0,0,0,0,0,N/A,0,0,12
00052,3764,25233,16931,0,16930,0,25233,N/A,2809,381,5015
00053,0,1129,0,0,0,0,1129,N/A,0,0,117
00054,0,3,0,0,0,0,3,N/A,0,0,34
00055,23,212,53,9,58,2,214,N/A,40,7,144
00056,0,12,0,0,0,0,12,N/A,0,0,37
00057,3,11,6,0,6,0,11,N/A,9,2,72
00058,3,7,0,0,0,0,7,N/A,4,0,62
00059,5,47,0,0,0,0,47,N/A,16,0,122
00060,9,72,1,0,1,0,72,N/A,22,2,91
00061,0,6,0,0,0,0,6,N/A,0,0,36
00062,11,72,0,0,0,0,72,N/A,14,0,94
00063,12,61,0,0,0,0,61,N/A,7,0,85
00064,0,3,0,0,0,0,3,N/A,0,0,35
00065,3,12,2,0,2,0,12,N/A,8,2,71
00066,1,20,0,0,0,0,20,N/A,3,0,63
00067,0,24,0,0,0,0,24,N/A,0,0,40
00068,2,33,0,0,0,0,33,N/A,3,0,73
00069,1,8,0,0,0,0,8,N/A,3,0,74
00070,0,42,0,0,0,0,42,N/A,0,0,41
00071,1,14,0,0,0,0,14,N/A,3,0,67
00072,1,31,0,0,0,0,31,N/A,4,0,71
00073,6,77,2,3,0,1,78,N/A,13,2,84
00074,0,21,0,0,0,0,21,N/A,0,0,38
00075,2,125,0,1,0,1,126,N/A,4,2,83
00076,0,186,0,0,0,0,186,N/A,0,0,69
00077,0,4,0,0,0,0,4,N/A,0,0,36
00078,43,715,234,349,215,330,1045,N/A,157,15,366
00079,2,29,0,0,0,0,29,N/A,3,0,63
00080,0,26,0,0,0,0,26,N/A,0,0,39
00081,93,679,1,0,1,0,679,N/A,20,2,157
00082,200,263,457,2,457,2,265,N/A,107,22,289
00083,0,15,0,0,0,0,15,N/A,0,0,37
00084,0,4,0,0,0,0,4,N/A,0,0,35
00085,0,2,0,0,0,0,2,N/A,0,0,35
00086,0,0,0,0,0,0,0,N/A,0,0,13
00087,0,77,0,0,0,0,77,N/A,0,0,47
00088,0,105,0,0,0,0,105,N/A,0,0,49
00089,0,87,0,0,0,0,87,N/A,0,0,55
00090,0,66,0,0,0,0,66,N/A,0,0,45
00091,0,13,0,0,0,0,13,N/A,0,0,38
00092,0,32,0,0,0,0,32,N/A,0,0,40
00093,0,216,0,0,0,0,216,N/A,0,0,75
00094,17,138,14,13,12,11,149,N/A,13,4,113
00095,0,63,0,0,0,0,63,N/A,0,0,46
00096,0,0,0,0,0,0,0,N/A,0,0,13
00097,0,0,0,0,0,0,0,N/A,0,0,21
00098,0,0,0,0,0,0,0,N/A,0,0,13
00099,0,0,0,0,0,0,0,N/A,0,0,13
00100,0,0,0,0,0,0,0,N/A,0,0,13
00101,0,0,0,0,0,0,0,N/A,0,0,13
00102,0,0,0,0,0,0,0,N/A,0,0,12
00103,0,259,0,0,0,0,259,N/A,0,0,77
00104,0,1118,0,0,0,0,1118,N/A,0,0,120
00105,0,11,0,0,0,0,11,N/A,0,0,38
00106,4,43,2,0,2,0,43,N/A,8,2,86
00107,0,22,0,0,0,0,22,N/A,0,0,39
00108,0,16,0,0,0,0,16,N/A,0,0,38
00109,0,83,0,0,0,0,83,N/A,0,0,53
00110,177,244,391,1,391,1,245,N/A,95,22,264
00111,0,43,0,0,0,0,43,N/A,0,0,42
00112,20,113,34,19,26,11,124,N/A,37,6,161
00113,12,24,0,0,0,0,24,N/A,4,0,69
00114,24,25,84,68,87,53,78,N/A,90,12,186
00115,0,216,0,0,0,0,216,N/A,0,0,78
00116,11,30,10,17,8,15,45,N/A,32,15,131
00117,2437,4826,102315,0,109662,0,4826,N/A,508696,74593,TIMEOUT
00118,19,89,150,37,140,17,106,N/A,87,12,205
00119,0,3,0,0,0,0,3,N/A,0,0,36
00120,10,53,25,14,14,3,56,N/A,25,4,112
00121,0,0,0,0,0,0,0,N/A,0,0,12
00122,0,2,0,0,0,0,2,N/A,0,0,104
00123,0,0,0,0,0,0,0,N/A,0,0,13
00124,0,0,0,0,0,0,0,N/A,0,0,13
00125,0,0,0,0,0,0,0,N/A,0,0,13
00126,0,0,0,0,0,0,0,N/A,0,0,13
00127,0,0,0,0,0,0,0,N/A,0,0,13
00128,0,1,0,0,0,0,1,N/A,0,0,34
00129,0,13,0,0,0,0,13,N/A,0,0,38
00130,0,3,0,0,0,0,3,N/A,0,0,35
00131,0,0,0,0,0,0,0,N/A,0,0,13
00132,0,18,0,0,0,0,18,N/A,0,0,39
00133,0,10,0,0,0,0,10,N/A,0,0,36
00134,0,0,0,0,0,0,0,N/A,0,0,13
00135,0,55,0,0,0,0,55,N/A,0,0,43
00136,0,48,0,0,0,0,48,N/A,0,0,51
00137,0,158,0,0,0,0,158,N/A,0,0,72
00138,0,384,0,0,0,0,384,N/A,0,0,89
00139,0,145,0,0,0,0,145,N/A,0,0,61
00140,0,511,0,0,0,0,511,N/A,0,0,76
00141,0,116,0,0,0,0,116,N/A,0,0,51
00142,0,604,0,0,0,0,604,N/A,0,0,88
00143,0,187,0,0,0,0,187,N/A,0,0,71
00144,0,2168,0,0,0,0,2168,N/A,0,0,158
00145,0,60,0,0,0,0,60,N/A,0,0,44
00146,0,1211,0,0,0,0,1211,N/A,0,0,112
00147,0,4,0,0,0,0,4,N/A,0,0,35
