====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.obolibrary.org/obo/BFO_0000004>(X0) :- <http://purl.obolibrary.org/obo/BFO_0000053>(X0, X3).
[_R2] <http://purl.obolibrary.org/obo/BFO_0000004>(X0) :- <http://purl.obolibrary.org/obo/RO_0002202>(X0, X3).
[_R3] <http://purl.obolibrary.org/obo/BFO_0000004>(X0) :- <http://purl.obolibrary.org/obo/BFO_0000056>(X0, X3).
[_R4] <http://purl.obolibrary.org/obo/BFO_0000004>(X0) :- <http://purl.obolibrary.org/obo/RO_0002150>(X0, X3).
[_R5] <http://purl.obolibrary.org/obo/tao#homologous_to>(X1, X0) :- <http://purl.obolibrary.org/obo/tao#homologous_to>(X0, X1).
[_R6] <http://purl.obolibrary.org/obo/BFO_0000051>(X0, X1) :- <http://purl.obolibrary.org/obo/RO_0002180>(X0, X1).
[_R7] <http://purl.obolibrary.org/obo/TAO_0005095>(X0) :- <http://purl.obolibrary.org/obo/TAO_0005096>(X0).
[_R8] <http://purl.obolibrary.org/obo/TAO_0001478>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001419>(X0).
[_R9] <http://purl.obolibrary.org/obo/TAO_0001085>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000892>(X0).
[_R10] <http://purl.obolibrary.org/obo/TAO_0005145>(X0) :- <http://purl.obolibrary.org/obo/TAO_0007008>(X0).
[_R11] <http://purl.obolibrary.org/obo/TAO_0009035>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009033>(X0).
[_R12] <http://purl.obolibrary.org/obo/TAO_0009239>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009052>(X0).
[_R13] <http://purl.obolibrary.org/obo/TAO_0009100>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009216>(X0).
[_R14] <http://purl.obolibrary.org/obo/TAO_0001551>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001762>(X0).
[_R15] <http://purl.obolibrary.org/obo/TAO_0000641>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000453>(X0).
[_R16] <http://purl.obolibrary.org/obo/TAO_0001094>(X0) :- <http://purl.obolibrary.org/obo/TAO_0002048>(X0).
[_R17] <http://purl.obolibrary.org/obo/TAO_0009039>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009040>(X0).
[_R18] <http://purl.obolibrary.org/obo/TAO_0001258>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000893>(X0).
[_R19] <http://purl.obolibrary.org/obo/TAO_0001461>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001425>(X0).
[_R20] <http://purl.obolibrary.org/obo/TAO_0009307>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009024>(X0).
[_R21] <http://purl.obolibrary.org/obo/TAO_0009356>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009022>(X0).
[_R22] <http://purl.obolibrary.org/obo/TAO_0009097>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009228>(X0).
[_R23] <http://purl.obolibrary.org/obo/TAO_0001915>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001223>(X0).
[_R24] <http://purl.obolibrary.org/obo/TAO_0001837>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001838>(X0).
[_R25] <http://purl.obolibrary.org/obo/TAO_0009248>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009242>(X0).
[_R26] <http://purl.obolibrary.org/obo/TAO_0009059>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009061>(X0).
[_R27] <http://purl.obolibrary.org/obo/TAO_0009067>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009069>(X0).
[_R28] <http://purl.obolibrary.org/obo/TAO_0009248>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009239>(X0).
[_R29] <http://purl.obolibrary.org/obo/TAO_0009326>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009048>(X0).
[_R30] <http://purl.obolibrary.org/obo/BFO_0000004>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000477>(X0).
[_R31] <http://purl.obolibrary.org/obo/TAO_0009130>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009065>(X0).
[_R32] <http://purl.obolibrary.org/obo/TAO_0001479>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000425>(X0).
[_R33] <http://purl.obolibrary.org/obo/TAO_0000170>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001225>(X0).
[_R34] <http://purl.obolibrary.org/obo/TAO_0005145>(X0) :- <http://purl.obolibrary.org/obo/TAO_0005280>(X0).
[_R35] <http://purl.obolibrary.org/obo/TAO_0001285>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001057>(X0).
[_R36] <http://purl.obolibrary.org/obo/TAO_0001439>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000282>(X0).
[_R37] <http://purl.obolibrary.org/obo/TAO_0001625>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000694>(X0).
[_R38] <http://purl.obolibrary.org/obo/TAO_0002146>(X0) :- <http://purl.obolibrary.org/obo/TAO_0000090>(X0).
[_R39] <http://purl.obolibrary.org/obo/TAO_0009357>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009064>(X0).
[_R40] <http://purl.obolibrary.org/obo/TAO_0009020>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009019>(X0).
[_R41] <http://purl.obolibrary.org/obo/TAO_0009226>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009229>(X0).
[_R42] <http://purl.obolibrary.org/obo/TAO_0009000>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009092>(X0).
[_R43] <http://purl.obolibrary.org/obo/TAO_0009000>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009095>(X0).
[_R44] <http://purl.obolibrary.org/obo/TAO_0009096>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009097>(X0).
[_R45] <http://purl.obolibrary.org/obo/TAO_0009098>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009099>(X0).
[_R46] <http://purl.obolibrary.org/obo/TAO_0009220>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009224>(X0).
[_R47] <http://purl.obolibrary.org/obo/TAO_0009278>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009346>(X0).
[_R48] <http://purl.obolibrary.org/obo/TAO_0009287>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009084>(X0).
[_R49] <http://purl.obolibrary.org/obo/TAO_0001612>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001810>(X0).
[_R50] <http://purl.obolibrary.org/obo/TAO_0001903>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001239>(X0).
[_R51] <http://purl.obolibrary.org/obo/TAO_0009039>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009036>(X0).
[_R52] <http://purl.obolibrary.org/obo/TAO_0002174>(X0) :- <http://purl.obolibrary.org/obo/TAO_0002176>(X0).
[_R53] <http://purl.obolibrary.org/obo/TAO_0000364>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001560>(X0).
[_R54] <http://purl.obolibrary.org/obo/TAO_0009100>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009206>(X0).
[_R55] <http://purl.obolibrary.org/obo/TAO_0001834>(X0) :- <http://purl.obolibrary.org/obo/TAO_0002076>(X0).
[_R56] <http://purl.obolibrary.org/obo/TAO_0000476>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001279>(X0).
[_R57] <http://purl.obolibrary.org/obo/TAO_0001460>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001964>(X0).
[_R58] <http://purl.obolibrary.org/obo/TAO_0009327>(X0) :- <http://purl.obolibrary.org/obo/TAO_0009328>(X0).
[_R59] <http://purl.obolibrary.org/obo/TAO_0002276>(X0) :- <http://purl.obolibrary.org/obo/TAO_0001058>(X0).
