====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.org/obo/owl/obo#regulates>(X0, X1) :- <http://purl.org/obo/owl/obo#negatively_regulates>(X0, X1).
[_R2] <http://purl.org/obo/owl/obo#regulates>(X0, X1) :- <http://purl.org/obo/owl/obo#positively_regulates>(X0, X1).
[_R3] <http://purl.org/obo/owl/GO#GO_0045242>(X0) :- <http://purl.org/obo/owl/GO#GO_0045243>(X0).
[_R4] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0072669>(X0).
[_R5] <http://purl.org/obo/owl/GO#GO_0044459>(X0) :- <http://purl.org/obo/owl/GO#GO_0070719>(X0).
[_R6] <http://purl.org/obo/owl/GO#GO_0044431>(X0) :- <http://purl.org/obo/owl/GO#GO_0017119>(X0).
[_R7] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0042652>(X0).
[_R8] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0019008>(X0).
[_R9] <http://purl.org/obo/owl/GO#GO_0031301>(X0) :- <http://purl.org/obo/owl/GO#GO_0031166>(X0).
[_R10] <http://purl.org/obo/owl/GO#GO_0044459>(X0) :- <http://purl.org/obo/owl/GO#GO_0016012>(X0).
[_R11] <http://purl.org/obo/owl/GO#GO_0044429>(X0) :- <http://purl.org/obo/owl/GO#GO_0020023>(X0).
[_R12] <http://purl.org/obo/owl/GO#GO_0033202>(X0) :- <http://purl.org/obo/owl/GO#GO_0031011>(X0).
[_R13] <http://purl.org/obo/owl/GO#GO_0031984>(X0) :- <http://purl.org/obo/owl/GO#GO_0032046>(X0).
[_R14] <http://purl.org/obo/owl/GO#GO_0030141>(X0) :- <http://purl.org/obo/owl/GO#GO_0001669>(X0).
[_R15] <http://purl.org/obo/owl/GO#GO_0005598>(X0) :- <http://purl.org/obo/owl/GO#GO_0005591>(X0).
[_R16] <http://purl.org/obo/owl/GO#GO_0044450>(X0) :- <http://purl.org/obo/owl/GO#GO_0034451>(X0).
[_R17] <http://purl.org/obo/owl/GO#GO_0044429>(X0) :- <http://purl.org/obo/owl/GO#GO_0017133>(X0).
[_R18] <http://purl.org/obo/owl/GO#GO_0005598>(X0) :- <http://purl.org/obo/owl/GO#GO_0005599>(X0).
[_R19] <http://purl.org/obo/owl/GO#GO_0043231>(X0) :- <http://purl.org/obo/owl/GO#GO_0005773>(X0).
[_R20] <http://www.geneontology.org/formats/oboInOwl#ObsoleteClass>(X0) :- <http://purl.org/obo/owl/GO#GO_0005571>(X0).
[_R21] <http://purl.org/obo/owl/GO#GO_0071256>(X0) :- <http://purl.org/obo/owl/GO#GO_0005784>(X0).
[_R22] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0071664>(X0).
[_R23] <http://purl.org/obo/owl/GO#GO_0044445>(X0) :- <http://purl.org/obo/owl/GO#GO_0045248>(X0).
[_R24] <http://www.geneontology.org/formats/oboInOwl#ObsoleteClass>(X0) :- <http://purl.org/obo/owl/GO#GO_0017052>(X0).
[_R25] <http://purl.org/obo/owl/GO#GO_0005874>(X0) :- <http://purl.org/obo/owl/GO#GO_0005879>(X0).
[_R26] <http://purl.org/obo/owl/GO#GO_0045283>(X0) :- <http://purl.org/obo/owl/GO#GO_0045284>(X0).
[_R27] <http://purl.org/obo/owl/GO#GO_0044452>(X0) :- <http://purl.org/obo/owl/GO#GO_0030690>(X0).
