====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.org/obo/owl/SO#SO_0000736>(X0) :- <http://purl.org/obo/owl/SO#SO_0000737>(X0).
[_R2] <http://purl.org/obo/owl/SO#SO_1000017>(X0) :- <http://purl.org/obo/owl/SO#SO_1000023>(X0).
[_R3] <http://purl.org/obo/owl/SO#SO_0000492>(X0) :- <http://purl.org/obo/owl/SO#SO_0000570>(X0).
[_R4] <http://purl.org/obo/owl/SO#SO_0001133>(X0) :- <http://purl.org/obo/owl/SO#SO_0001155>(X0).
[_R5] <http://www.geneontology.org/formats/oboInOwl#ObsoleteClass>(X0) :- <http://purl.org/obo/owl/SO#SO_0000053>(X0).
[_R6] <http://purl.org/obo/owl/SO#SO_0001277>(X0) :- <http://purl.org/obo/owl/SO#SO_0001345>(X0).
[_R7] <http://purl.org/obo/owl/SO#SO_0001879>(X0) :- <http://purl.org/obo/owl/SO#SO_0001893>(X0).
[_R8] <http://purl.org/obo/owl/SO#SO_0001277>(X0) :- <http://purl.org/obo/owl/SO#SO_0001346>(X0).
[_R9] <http://purl.org/obo/owl/SO#SO_1000011>(X0) :- <http://purl.org/obo/owl/SO#SO_1000012>(X0).
[_R10] <http://purl.org/obo/owl/SO#SO_0000243>(X0) :- <http://purl.org/obo/owl/SO#SO_1001260>(X0).
[_R11] <http://purl.org/obo/owl/SO#SO_0005855>(X0) :- <http://purl.org/obo/owl/SO#SO_0001789>(X0).
[_R12] <http://purl.org/obo/owl/SO#SO_0000873>(X0) :- <http://purl.org/obo/owl/SO#SO_0000874>(X0).
[_R13] <http://purl.org/obo/owl/SO#SO_0000740>(X0) :- <http://purl.org/obo/owl/SO#SO_0000743>(X0).
[_R14] <http://www.geneontology.org/formats/oboInOwl#ObsoleteClass>(X0) :- <http://purl.org/obo/owl/SO#SO_1000058>(X0).
[_R15] <http://purl.org/obo/owl/SO#SO_0000440>(X0) :- <http://purl.org/obo/owl/SO#SO_0000156>(X0).
[_R16] <http://purl.org/obo/owl/SO#SO_0001120>(X0) :- <http://purl.org/obo/owl/SO#SO_0001122>(X0).
[_R17] <http://purl.org/obo/owl/SO#SO_0000740>(X0) :- <http://purl.org/obo/owl/SO#SO_0000748>(X0).
