====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.org/obo/owl/TO#TO_0002728>(X0) :- <http://purl.org/obo/owl/TO#TO_0002742>(X0).
[_R2] <http://purl.org/obo/owl/TO#TO_0002683>(X0) :- <http://purl.org/obo/owl/TO#TO_0002682>(X0).
[_R3] <http://purl.org/obo/owl/TO#TO_0020028>(X0) :- <http://purl.org/obo/owl/TO#TO_0020027>(X0).
[_R4] <http://purl.org/obo/owl/TO#TO_0000281>(X0) :- <http://purl.org/obo/owl/TO#TO_0000476>(X0).
[_R5] <http://purl.org/obo/owl/TO#TO_0000419>(X0) :- <http://purl.org/obo/owl/TO#TO_0002748>(X0).
[_R6] <http://purl.org/obo/owl/TO#TO_0000371>(X0) :- <http://purl.org/obo/owl/TO#TO_0000327>(X0).
[_R7] <http://purl.org/obo/owl/TO#TO_0000319>(X0) :- <http://purl.org/obo/owl/TO#TO_0000320>(X0).
[_R8] <http://purl.org/obo/owl/TO#TO_0000705>(X0) :- <http://purl.org/obo/owl/TO#TO_0000647>(X0).
[_R9] <http://purl.org/obo/owl/TO#TO_0000597>(X0) :- <http://purl.org/obo/owl/TO#TO_0002642>(X0).
[_R10] <http://purl.org/obo/owl/TO#TO_0000757>(X0) :- <http://purl.org/obo/owl/TO#TO_0000771>(X0).
[_R11] <http://purl.org/obo/owl/TO#TO_0002720>(X0) :- <http://purl.org/obo/owl/TO#TO_0011006>(X0).
[_R12] <http://purl.org/obo/owl/TO#TO_0002653>(X0) :- <http://purl.org/obo/owl/TO#TO_0000109>(X0).
[_R13] <http://purl.org/obo/owl/TO#TO_0000657>(X0) :- <http://purl.org/obo/owl/TO#TO_0020034>(X0).
[_R14] <http://purl.org/obo/owl/TO#TO_0000017>(X0) :- <http://purl.org/obo/owl/TO#TO_0002629>(X0).
[_R15] <http://purl.org/obo/owl/TO#TO_0000807>(X0) :- <http://purl.org/obo/owl/TO#TO_0000811>(X0).
[_R16] <http://purl.org/obo/owl/TO#TO_0000621>(X0) :- <http://purl.org/obo/owl/TO#TO_0000622>(X0).
[_R17] <http://purl.org/obo/owl/TO#TO_0000667>(X0) :- <http://purl.org/obo/owl/TO#TO_0002645>(X0).
[_R18] <http://purl.org/obo/owl/TO#TO_0000251>(X0) :- <http://purl.org/obo/owl/TO#TO_0000007>(X0).
[_R19] <http://purl.org/obo/owl/TO#TO_0000291>(X0) :- <http://purl.org/obo/owl/TO#TO_0000697>(X0).
[_R20] <http://purl.org/obo/owl/TO#TO_0000306>(X0) :- <http://purl.org/obo/owl/TO#TO_0000090>(X0).
[_R21] <http://purl.org/obo/owl/TO#TO_0000598>(X0) :- <http://purl.org/obo/owl/TO#TO_0002653>(X0).
[_R22] <http://purl.org/obo/owl/TO#TO_0000261>(X0) :- <http://purl.org/obo/owl/TO#TO_0005009>(X0).
[_R23] <http://purl.org/obo/owl/TO#TO_0000577>(X0) :- <http://purl.org/obo/owl/TO#TO_0000427>(X0).
[_R24] <http://purl.org/obo/owl/TO#TO_0000247>(X0) :- <http://purl.org/obo/owl/TO#TO_0000038>(X0).
[_R25] <http://purl.org/obo/owl/TO#TO_0000347>(X0) :- <http://purl.org/obo/owl/TO#TO_0000030>(X0).
[_R26] <http://purl.org/obo/owl/TO#TO_0000485>(X0) :- <http://purl.org/obo/owl/TO#TO_0000436>(X0).
[_R27] <http://purl.org/obo/owl/TO#TO_0000465>(X0) :- <http://purl.org/obo/owl/TO#TO_0006054>(X0).
[_R28] <http://purl.org/obo/owl/TO#TO_0000162>(X0) :- <http://purl.org/obo/owl/TO#TO_0000587>(X0).
[_R29] <http://purl.org/obo/owl/TO#TO_0000152>(X0) :- <http://purl.org/obo/owl/TO#TO_0002678>(X0).
[_R30] <http://purl.org/obo/owl/TO#TO_0000439>(X0) :- <http://purl.org/obo/owl/TO#TO_0002702>(X0).
[_R31] <http://purl.org/obo/owl/TO#TO_0000621>(X0) :- <http://purl.org/obo/owl/TO#TO_0006027>(X0).
[_R32] <http://purl.org/obo/owl/TO#TO_0000599>(X0) :- <http://purl.org/obo/owl/TO#TO_0000331>(X0).
