====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.org/obo/owl/TADS#TADS_0000597>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000171>(X0).
[_R2] <http://purl.org/obo/owl/TADS#TADS_0000597>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000400>(X0).
[_R3] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000299>(X0).
[_R4] <http://purl.org/obo/owl/TADS#TADS_0000597>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000040>(X0).
[_R5] <http://purl.org/obo/owl/TADS#TADS_0000588>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000590>(X0).
[_R6] <http://purl.org/obo/owl/TADS#TADS_0000584>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000607>(X0).
[_R7] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000401>(X0).
[_R8] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000131>(X0).
[_R9] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000544>(X0).
[_R10] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000205>(X0).
[_R11] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000257>(X0).
[_R12] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000167>(X0).
[_R13] <http://purl.org/obo/owl/TADS#TADS_0000604>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000404>(X0).
[_R14] <http://purl.org/obo/owl/TADS#TADS_0000598>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000080>(X0).
[_R15] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000149>(X0).
[_R16] <http://purl.org/obo/owl/TADS#TADS_0000604>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000618>(X0).
[_R17] <http://purl.org/obo/owl/TADS#TADS_0000614>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000597>(X0).
[_R18] <http://purl.org/obo/owl/TADS#TADS_0000301>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000577>(X0).
[_R19] <http://purl.org/obo/owl/TADS#TADS_0000610>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000599>(X0).
[_R20] <http://purl.org/obo/owl/TADS#TADS_0000246>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000266>(X0).
[_R21] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000233>(X0).
[_R22] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000427>(X0).
[_R23] <http://purl.org/obo/owl/TADS#TADS_0000584>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000613>(X0).
[_R24] <http://purl.org/obo/owl/TADS#TADS_0000604>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000429>(X0).
[_R25] <http://purl.org/obo/owl/TADS#TADS_0000584>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000598>(X0).
[_R26] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000180>(X0).
[_R27] <http://purl.org/obo/owl/TADS#TADS_0000610>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000600>(X0).
[_R28] <http://purl.org/obo/owl/TADS#TADS_0000584>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000606>(X0).
[_R29] <http://purl.org/obo/owl/TADS#TADS_0000604>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000493>(X0).
[_R30] <http://purl.org/obo/owl/TADS#TADS_0000597>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000163>(X0).
[_R31] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000166>(X0).
[_R32] <http://purl.org/obo/owl/TADS#TADS_0000245>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000247>(X0).
[_R33] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000099>(X0).
[_R34] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000148>(X0).
[_R35] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000438>(X0).
[_R36] <http://purl.org/obo/owl/TADS#TADS_0000604>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000437>(X0).
[_R37] <http://purl.org/obo/owl/TADS#TADS_0000246>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000261>(X0).
[_R38] <http://purl.org/obo/owl/TADS#TADS_0000301>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000578>(X0).
[_R39] <http://purl.org/obo/owl/TADS#TADS_0000222>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000270>(X0).
[_R40] <http://purl.org/obo/owl/TADS#TADS_0000238>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000244>(X0).
[_R41] <http://purl.org/obo/owl/TADS#TADS_0000222>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000065>(X0).
[_R42] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000571>(X0).
[_R43] <http://purl.org/obo/owl/TADS#TADS_0000603>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000002>(X0).
[_R44] <http://purl.org/obo/owl/TADS#TADS_0000584>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000604>(X0).
[_R45] <http://purl.org/obo/owl/TADS#TADS_0000592>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000164>(X0).
[_R46] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000030>(X0).
[_R47] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000444>(X0).
[_R48] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000433>(X0).
[_R49] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000197>(X0).
[_R50] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000034>(X0).
[_R51] <http://purl.org/obo/owl/TADS#TADS_0000593>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000610>(X0).
[_R52] <http://purl.org/obo/owl/TADS#TADS_0000619>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000622>(X0).
[_R53] <http://purl.org/obo/owl/TADS#TADS_0000238>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000243>(X0).
[_R54] <http://purl.org/obo/owl/TADS#TADS_0000585>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000616>(X0).
[_R55] <http://purl.org/obo/owl/TADS#TADS_0000222>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000228>(X0).
[_R56] <http://purl.org/obo/owl/TADS#TADS_0000605>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000352>(X0).
[_R57] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000070>(X0).
[_R58] <http://purl.org/obo/owl/TADS#TADS_0000598>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000237>(X0).
[_R59] <http://purl.org/obo/owl/TADS#TADS_0000608>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000611>(X0).
[_R60] <http://purl.org/obo/owl/TADS#TADS_0000238>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000242>(X0).
[_R61] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000554>(X0).
[_R62] <http://purl.org/obo/owl/TADS#TADS_0000626>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000623>(X0).
[_R63] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000412>(X0).
[_R64] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000432>(X0).
[_R65] <http://purl.org/obo/owl/TADS#TADS_0000604>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000442>(X0).
[_R66] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000498>(X0).
[_R67] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000434>(X0).
[_R68] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000196>(X0).
[_R69] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000097>(X0).
[_R70] <http://purl.org/obo/owl/TADS#TADS_0000586>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000440>(X0).
[_R71] <http://purl.org/obo/owl/TADS#TADS_0000597>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000057>(X0).
[_R72] <http://purl.org/obo/owl/TADS#TADS_0000607>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000247>(X0).
[_R73] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000238>(X0).
[_R74] <http://purl.org/obo/owl/TADS#TADS_0000594>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000143>(X0).
[_R75] <http://purl.org/obo/owl/TADS#TADS_0000222>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000271>(X0).
[_R76] <http://purl.org/obo/owl/TADS#TADS_0000584>(X0) :- <http://purl.org/obo/owl/TADS#TADS_0000595>(X0).
