====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.org/obo/owl/PRO#PRO_000000991>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000001001>(X0).
[_R2] <http://purl.org/obo/owl/PRO#PRO_000000001>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000033>(X0).
[_R3] <http://purl.org/obo/owl/PRO#PRO_000000281>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000440>(X0).
[_R4] <http://purl.org/obo/owl/PRO#PRO_000000037>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000149>(X0).
[_R5] <http://purl.org/obo/owl/PRO#PRO_000000583>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000664>(X0).
[_R6] <http://purl.org/obo/owl/PRO#PRO_000000282>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000442>(X0).
[_R7] <http://purl.org/obo/owl/PRO#PRO_000000035>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000141>(X0).
[_R8] <http://purl.org/obo/owl/PRO#PRO_000000126>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000337>(X0).
[_R9] <http://purl.org/obo/owl/PRO#PRO_000000728>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000868>(X0).
[_R10] <http://purl.org/obo/owl/PRO#PRO_000000010>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000088>(X0).
[_R11] <http://purl.org/obo/owl/PRO#PRO_000000117>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000302>(X0).
[_R12] <http://purl.org/obo/owl/PRO#PRO_000000711>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000783>(X0).
[_R13] <http://purl.org/obo/owl/PRO#PRO_000000005>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000062>(X0).
[_R14] <http://purl.org/obo/owl/PRO#PRO_000000726>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000808>(X0).
[_R15] <http://purl.org/obo/owl/PRO#PRO_000000580>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000661>(X0).
[_R16] <http://purl.org/obo/owl/PRO#PRO_000000493>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000599>(X0).
[_R17] <http://purl.org/obo/owl/PRO#PRO_000000068>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000202>(X0).
[_R18] <http://purl.org/obo/owl/PRO#PRO_000000072>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000216>(X0).
[_R19] <http://purl.org/obo/owl/PRO#PRO_000000009>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000077>(X0).
[_R20] <http://purl.org/obo/owl/PRO#PRO_000000126>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000357>(X0).
[_R21] <http://purl.org/obo/owl/PRO#PRO_000000012>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000135>(X0).
[_R22] <http://purl.org/obo/owl/PRO#PRO_000000455>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000557>(X0).
[_R23] <http://purl.org/obo/owl/PRO#PRO_000000669>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000688>(X0).
[_R24] <http://purl.org/obo/owl/PRO#PRO_000000728>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000829>(X0).
[_R25] <http://purl.org/obo/owl/PRO#PRO_000000001>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000683>(X0).
[_R26] <http://purl.org/obo/owl/PRO#PRO_000000024>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000121>(X0).
[_R27] <http://purl.org/obo/owl/PRO#PRO_000000117>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000296>(X0).
[_R28] <http://purl.org/obo/owl/PRO#PRO_000000988>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000997>(X0).
[_R29] <http://purl.org/obo/owl/PRO#PRO_000000085>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000253>(X0).
[_R30] <http://purl.org/obo/owl/PRO#PRO_000000732>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000927>(X0).
[_R31] <http://purl.org/obo/owl/PRO#PRO_000001033>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000001039>(X0).
[_R32] <http://purl.org/obo/owl/PRO#PRO_000000364>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000473>(X0).
[_R33] <http://purl.org/obo/owl/PRO#PRO_000000128>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000368>(X0).
[_R34] <http://purl.org/obo/owl/PRO#PRO_000000794>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000963>(X0).
[_R35] <http://purl.org/obo/owl/PRO#PRO_000000696>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000740>(X0).
[_R36] <http://purl.org/obo/owl/PRO#PRO_000000093>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000268>(X0).
[_R37] <http://purl.org/obo/owl/PRO#PRO_000000126>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000318>(X0).
[_R38] <http://purl.org/obo/owl/PRO#PRO_000000383>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000500>(X0).
[_R39] <http://purl.org/obo/owl/PRO#PRO_000000007>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000037>(X0).
[_R40] <http://purl.org/obo/owl/PRO#PRO_000000728>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000849>(X0).
[_R41] <http://purl.org/obo/owl/PRO#PRO_000000047>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000185>(X0).
[_R42] <http://purl.org/obo/owl/PRO#PRO_000000458>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000559>(X0).
[_R43] <http://purl.org/obo/owl/PRO#PRO_000000014>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000093>(X0).
[_R44] <http://purl.org/obo/owl/PRO#PRO_000000729>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000915>(X0).
[_R45] <http://purl.org/obo/owl/PRO#PRO_000000456>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000558>(X0).
[_R46] <http://purl.org/obo/owl/PRO#PRO_000000034>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000168>(X0).
[_R47] <http://purl.org/obo/owl/PRO#PRO_000000668>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000714>(X0).
[_R48] <http://purl.org/obo/owl/PRO#PRO_000000085>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000242>(X0).
[_R49] <http://purl.org/obo/owl/PRO#PRO_000000085>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000255>(X0).
[_R50] <http://purl.org/obo/owl/PRO#PRO_000000701>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000788>(X0).
[_R51] <http://purl.org/obo/owl/PRO#PRO_000000448>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000553>(X0).
[_R52] <http://purl.org/obo/owl/PRO#PRO_000000047>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000193>(X0).
[_R53] <http://purl.org/obo/owl/PRO#PRO_000000027>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000099>(X0).
[_R54] <http://purl.org/obo/owl/PRO#PRO_000000126>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000338>(X0).
[_R55] <http://purl.org/obo/owl/PRO#PRO_000000010>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000087>(X0).
[_R56] <http://purl.org/obo/owl/PRO#PRO_000000364>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000469>(X0).
[_R57] <http://purl.org/obo/owl/PRO#PRO_000000728>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000869>(X0).
[_R58] <http://purl.org/obo/owl/PRO#PRO_000000786>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000949>(X0).
[_R59] <http://purl.org/obo/owl/PRO#PRO_000000504>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000611>(X0).
[_R60] <http://purl.org/obo/owl/PRO#PRO_000000005>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000056>(X0).
[_R61] <http://purl.org/obo/owl/PRO#PRO_000000010>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000089>(X0).
[_R62] <http://purl.org/obo/owl/PRO#PRO_000001036>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000001054>(X0).
[_R63] <http://purl.org/obo/owl/PRO#PRO_000000486>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000587>(X0).
[_R64] <http://purl.org/obo/owl/PRO#PRO_000000085>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000234>(X0).
[_R65] <http://purl.org/obo/owl/PRO#PRO_000001005>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000001013>(X0).
[_R66] <http://purl.org/obo/owl/PRO#PRO_000000712>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000761>(X0).
[_R67] <http://purl.org/obo/owl/PRO#PRO_000000029>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000130>(X0).
[_R68] <http://purl.org/obo/owl/PRO#PRO_000000072>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000217>(X0).
[_R69] <http://purl.org/obo/owl/PRO#PRO_000000712>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000763>(X0).
[_R70] <http://purl.org/obo/owl/PRO#PRO_000000126>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000358>(X0).
[_R71] <http://purl.org/obo/owl/PRO#PRO_000000712>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000764>(X0).
[_R72] <http://purl.org/obo/owl/PRO#PRO_000000008>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000073>(X0).
[_R73] <http://purl.org/obo/owl/PRO#PRO_000000037>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000150>(X0).
[_R74] <http://purl.org/obo/owl/PRO#PRO_000000712>(X0) :- <http://purl.org/obo/owl/PRO#PRO_000000767>(X0).
