====== RULE SET ======
[_R0]  ! :- <http://www.w3.org/2002/07/owl#Nothing>(X).
[_R1] <http://purl.org/obo/owl/obo#regulates>(X0, X1) :- <http://purl.org/obo/owl/obo#negatively_regulates>(X0, X1).
[_R2] <http://purl.org/obo/owl/obo#regulates>(X0, X1) :- <http://purl.org/obo/owl/obo#positively_regulates>(X0, X1).
[_R3] <http://purl.org/obo/owl/GO#GO_0044424>(X0) :- <http://purl.org/obo/owl/GO#GO_0034716>(X0).
[_R4] <http://purl.org/obo/owl/GO#GO_0044424>(X0) :- <http://purl.org/obo/owl/GO#GO_0034718>(X0).
[_R5] <http://purl.org/obo/owl/GO#GO_0044444>(X0) :- <http://purl.org/obo/owl/GO#GO_0034719>(X0).
[_R6] <http://purl.org/obo/owl/GO#GO_0044444>(X0) :- <http://purl.org/obo/owl/GO#GO_0005851>(X0).
[_R7] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0042824>(X0).
[_R8] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0005965>(X0).
[_R9] <http://purl.org/obo/owl/GO#GO_0043005>(X0) :- <http://purl.org/obo/owl/GO#GO_0030424>(X0).
[_R10] <http://purl.org/obo/owl/GO#GO_0044464>(X0) :- <http://purl.org/obo/owl/GO#GO_0034591>(X0).
[_R11] <http://purl.org/obo/owl/GO#GO_0044428>(X0) :- <http://purl.org/obo/owl/GO#GO_0002111>(X0).
[_R12] <http://purl.org/obo/owl/GO#GO_0005911>(X0) :- <http://purl.org/obo/owl/GO#GO_0033010>(X0).
[_R13] <http://purl.org/obo/owl/GO#GO_0030532>(X0) :- <http://purl.org/obo/owl/GO#GO_0005682>(X0).
[_R14] <http://purl.org/obo/owl/GO#GO_0044459>(X0) :- <http://purl.org/obo/owl/GO#GO_0031226>(X0).
[_R15] <http://purl.org/obo/owl/GO#GO_0044444>(X0) :- <http://purl.org/obo/owl/GO#GO_0000407>(X0).
[_R16] <http://purl.org/obo/owl/GO#GO_0005942>(X0) :- <http://purl.org/obo/owl/GO#GO_0035032>(X0).
[_R17] <http://purl.org/obo/owl/GO#GO_0030667>(X0) :- <http://purl.org/obo/owl/GO#GO_0032127>(X0).
[_R18] <http://purl.org/obo/owl/GO#GO_0044434>(X0) :- <http://purl.org/obo/owl/GO#GO_0030095>(X0).
[_R19] <http://purl.org/obo/owl/GO#GO_0044444>(X0) :- <http://purl.org/obo/owl/GO#GO_0033011>(X0).
[_R20] <http://purl.org/obo/owl/GO#GO_0005667>(X0) :- <http://purl.org/obo/owl/GO#GO_0000127>(X0).
[_R21] <http://purl.org/obo/owl/GO#GO_0005929>(X0) :- <http://purl.org/obo/owl/GO#GO_0031513>(X0).
[_R22] <http://purl.org/obo/owl/GO#GO_0044433>(X0) :- <http://purl.org/obo/owl/GO#GO_0033282>(X0).
[_R23] <http://purl.org/obo/owl/GO#GO_0019024>(X0) :- <http://purl.org/obo/owl/GO#GO_0019025>(X0).
[_R24] <http://purl.org/obo/owl/GO#GO_0000178>(X0) :- <http://purl.org/obo/owl/GO#GO_0000176>(X0).
[_R25] <http://purl.org/obo/owl/GO#GO_0044424>(X0) :- <http://purl.org/obo/owl/GO#GO_0044446>(X0).
[_R26] <http://purl.org/obo/owl/GO#GO_0043234>(X0) :- <http://purl.org/obo/owl/GO#GO_0019197>(X0).
[_R27] <http://purl.org/obo/owl/GO#GO_0045259>(X0) :- <http://purl.org/obo/owl/GO#GO_0045320>(X0).
