NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00001,256,2466,91850,8501,0,8143,10609,87146
00002,432,941,17078,2031,0,1998,2939,22195
00003,16709,2159,493542,69130,0,67176,69335,TIMEOUT
00004,16705,2107,1353130,88373,0,86406,88513,TIMEOUT
00005,16705,2107,1350728,88080,0,86124,88231,TIMEOUT
00006,1075,165,0,0,0,0,165,1147
00007,22,168,1962,266,0,229,397,766
00008,22,168,1962,266,0,229,397,752
00009,22,168,1962,266,0,229,397,780
00010,22,168,1962,266,0,229,397,771
00011,22,168,1962,266,0,229,397,743
00012,13,277,1914,220,0,196,473,807
00013,83,1258,2823736,482068,0,481815,483073,TIMEOUT
00014,143,1529,4328082,657058,0,656375,657904,TIMEOUT
00015,15,343,34779886,368480,0,367164,367507,TIMEOUT
00016,73,1047,12461110,682432,0,682195,683242,TIMEOUT
00017,71,1171,7005300,491012,0,490677,491848,TIMEOUT
00018,91,1123,9834180,688537,0,686489,687612,TIMEOUT
00019,72,1074,3288534,530465,0,530025,531099,TIMEOUT
00020,85,1308,3892254,460313,0,459766,461074,TIMEOUT
00021,117,1183,5254850,618100,0,617631,618814,TIMEOUT
00022,14,424,31696916,435846,0,434941,435365,TIMEOUT
00023,13,429,28295776,364958,0,363910,364339,TIMEOUT
00024,148,1524,5728896,649488,0,648929,650453,TIMEOUT
00025,68,987,15918,1157,0,904,1891,3389
00026,23858,30697,240,57763,0,57759,88456,TIMEOUT
00027,23858,31647,476,52887,0,52885,84532,TIMEOUT
00028,23858,31647,428,54386,0,54381,86028,TIMEOUT
00029,1776,4039,1342118,287709,0,285721,289760,TIMEOUT
00030,2096,3626,1409576,340890,0,339179,342805,TIMEOUT
00031,2096,3626,1315070,362227,0,360190,363816,TIMEOUT
00032,2096,4039,1327938,293551,0,291524,295563,TIMEOUT
00033,12339,9462,88356,246296,0,246294,255756,TIMEOUT
00034,12339,9364,83588,246539,0,246537,255901,TIMEOUT
00035,12339,9462,88354,249229,0,249227,258689,TIMEOUT
00036,12329,9456,87578,245746,0,245744,255200,TIMEOUT
00037,12323,9445,88292,249223,0,249221,258666,TIMEOUT
00038,12339,9457,88292,246979,0,246977,256434,TIMEOUT
00039,2437,4826,633876,262886,0,262147,266973,TIMEOUT
00040,43622,100787,0,0,0,0,100787,TIMEOUT
00041,14319,67437,24,32063,0,32045,99482,TIMEOUT
00042,15417,71082,2,31322,0,31321,102403,TIMEOUT
00043,18612,115810,0,0,0,0,115810,TIMEOUT
00044,14319,67400,82,33775,0,33746,101146,TIMEOUT
00045,42430,98673,0,0,0,0,98673,TIMEOUT
00046,15352,69253,240,30119,0,30094,99347,TIMEOUT
00047,14431,67545,12,37894,0,37880,105425,TIMEOUT
00048,14739,70578,2,31671,0,31661,102239,TIMEOUT
00049,15,51,5650,138,0,118,169,603
00050,15,51,5650,138,0,118,169,604
00051,0,0,0,0,0,0,0,50
00052,3764,25233,11452,6011,0,6011,31244,TIMEOUT
00053,0,1129,0,0,0,0,1129,344
00054,0,3,0,0,0,0,3,74
00055,25,210,657748,5606,0,5108,5318,16061
00056,0,12,0,0,0,0,12,75
00057,3,11,20,13,0,7,18,100
00058,3,7,20,7,0,4,11,94
00059,5,47,30,10,0,5,52,130
00060,9,72,200,26,0,16,88,202
00061,0,6,0,0,0,0,6,73
00062,11,72,52,15,0,4,76,169
00063,12,61,82,25,0,8,69,172
00064,0,3,0,0,0,0,3,74
00065,3,12,26,10,0,3,15,107
00066,1,20,6,2,0,1,21,97
00067,0,24,0,0,0,0,24,79
00068,2,33,0,0,0,0,33,95
00069,1,8,6,2,0,1,9,87
00070,0,42,0,0,0,0,42,85
00071,1,14,6,2,0,1,15,91
00072,1,31,6,2,0,1,32,103
00073,6,77,38,10,0,4,81,170
00074,0,21,0,0,0,0,21,79
00075,2,125,104,18,0,16,141,179
00076,0,186,0,0,0,0,186,122
00077,0,4,0,0,0,0,4,71
00078,10,715,970,145,0,127,842,889
00079,2,29,0,0,0,0,29,93
00080,0,26,0,0,0,0,26,79
00081,93,679,1370,194,0,84,763,1574
00082,200,263,1266,353,0,339,602,1638
00083,0,15,0,0,0,0,15,75
00084,0,4,0,0,0,0,4,71
00085,0,2,0,0,0,0,2,76
00086,0,0,0,0,0,0,0,56
00087,0,77,0,0,0,0,77,95
00088,1,104,11480,89,0,87,191,553
00089,0,87,0,0,0,0,87,93
00090,0,66,0,0,0,0,66,91
00091,0,13,0,0,0,0,13,74
00092,0,32,0,0,0,0,32,81
00093,0,216,0,0,0,0,216,125
00094,17,138,250,49,0,42,180,321
00095,0,63,0,0,0,0,63,91
00096,0,0,0,0,0,0,0,59
00097,0,0,0,0,0,0,0,51
00098,0,0,0,0,0,0,0,50
00099,0,0,0,0,0,0,0,50
00100,0,0,0,0,0,0,0,58
00101,0,0,0,0,0,0,0,50
00102,0,0,0,0,0,0,0,50
00103,4,255,812,46,0,0,255,310
00104,0,1118,0,0,0,0,1118,340
00105,0,11,0,0,0,0,11,73
00106,4,43,78,12,0,6,49,141
00107,0,22,0,0,0,0,22,80
00108,0,16,0,0,0,0,16,76
00109,0,83,0,0,0,0,83,93
00110,177,244,1128,320,0,306,550,1477
00111,0,43,0,0,0,0,43,86
00112,15,113,60684052,98557,0,96951,97064,TIMEOUT
00113,12,24,0,0,0,0,24,110
00114,12,31,42037728,414006,0,413884,413915,TIMEOUT
00115,0,216,0,0,0,0,216,124
00116,7,30,2174,90,0,76,106,330
00117,2437,4826,550192,261001,0,260383,265209,TIMEOUT
00118,19,89,23813506,468452,0,467670,467759,TIMEOUT
00119,0,3,0,0,0,0,3,71
00120,10,53,32286,289,0,231,284,1352
00121,0,0,0,0,0,0,0,50
00122,0,2,0,0,0,0,2,71
00123,0,0,0,0,0,0,0,51
00124,0,0,0,0,0,0,0,50
00125,0,0,0,0,0,0,0,51
00126,0,0,0,0,0,0,0,51
00127,0,0,0,0,0,0,0,53
00128,0,1,0,0,0,0,1,73
00129,0,13,0,0,0,0,13,75
00130,0,3,0,0,0,0,3,72
00131,0,0,0,0,0,0,0,52
00132,0,18,0,0,0,0,18,77
00133,0,10,0,0,0,0,10,76
00134,0,0,0,0,0,0,0,50
00135,0,55,0,0,0,0,55,104
00136,0,48,0,0,0,0,48,90
00137,0,158,0,0,0,0,158,122
00138,0,384,0,0,0,0,384,147
00139,0,145,0,0,0,0,145,120
00140,0,511,0,0,0,0,511,159
00141,0,116,0,0,0,0,116,110
00142,0,604,0,0,0,0,604,189
00143,0,187,0,0,0,0,187,119
00144,0,2168,0,0,0,0,2168,522
00145,0,60,0,0,0,0,60,94
00146,0,1211,0,0,0,0,1211,376
00147,0,4,0,0,0,0,4,72
00148,0,629,0,0,0,0,629,202
00149,0,213,0,0,0,0,213,121
00150,0,84,0,0,0,0,84,93
00151,48,263,2068,598,0,586,849,1665
00152,0,22,0,0,0,0,22,78
00153,24,186,48274934,119863,0,119663,119849,TIMEOUT
00154,0,6,0,0,0,0,6,73
00155,0,86,0,0,0,0,86,94
00156,0,0,0,0,0,0,0,51
00157,0,438,0,0,0,0,438,163
00159,0,316,0,0,0,0,316,140
00161,0,0,0,0,0,0,0,48
00162,0,9,0,0,0,0,9,74
00163,0,31,2,0,0,0,31,83
00164,3,31,52,8,0,4,35,127
00165,0,125,0,0,0,0,125,112
00166,0,10,0,0,0,0,10,75
00167,12,451,61568,9106,0,7846,8296,14342
00168,0,47,0,0,0,0,47,84
00169,22,168,1930,264,0,227,395,748
00170,9,120,58,21,0,14,134,183
00171,12,61,278,45,0,23,84,223
00172,108,190,1527946,2746,0,2586,2776,22381
00173,120,98,925598,3477,0,3325,3423,17615
00174,1776,3626,1342928,382034,0,380347,383973,TIMEOUT
00175,0,216,0,0,0,0,216,126
00176,30,70,31921130,205951,0,205570,205640,TIMEOUT
00177,0,357,0,0,0,0,357,160
00178,0,46,0,0,0,0,46,89
00179,0,25,0,0,0,0,25,79
