NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00001,254,2468,143140,41657,122353,55,2523,46868
00002,432,941,3087,325,2893,161,1102,1481
00003,16709,2159,80534,170,94515,0,2159,TIMEOUT
00004,16705,2107,20568,368,90210,0,2107,TIMEOUT
00005,16705,2107,106993,170,125061,0,2107,TIMEOUT
00006,1075,165,2,0,2,0,165,198
00007,22,168,41,5,37,0,168,204
00008,22,168,41,5,37,0,168,174
00009,22,168,41,5,37,0,168,173
00010,22,168,41,5,37,0,168,155
00011,22,168,41,5,37,0,168,179
00012,13,277,32,6,29,0,277,186
00013,76,1265,1293143,359221,950542,105,1370,322878
00014,139,1533,1528752,553319,1000447,203,1734,TIMEOUT
00015,13,345,2772,961,1992,11,356,1393
00016,65,1055,898490,262791,648283,87,1142,236326
00017,65,1177,782425,218955,576054,87,1264,193674
00018,85,1129,1194208,319916,887274,126,1253,300210
00019,68,1078,989196,279819,723834,90,1168,244758
00020,83,1310,1593676,443638,1170100,120,1430,556878
00021,110,1190,1434287,489218,959831,153,1341,411263
00022,13,425,3178,1117,2242,11,436,1628
00023,13,429,3739,1329,2591,11,440,1682
00024,139,1533,3344203,599052,2774460,203,1734,TIMEOUT
00025,68,987,581,126,478,24,1011,905
00026,23858,30697,118379,7395,111807,6,30703,TIMEOUT
00027,23858,31647,113480,3579,110822,6,31653,TIMEOUT
00028,23858,31647,103221,3084,101320,6,31653,TIMEOUT
00029,1776,4039,410846,0,413914,0,4039,TIMEOUT
00030,2096,3626,679811,0,684796,0,3626,TIMEOUT
00031,2096,3626,540454,0,546549,0,3626,TIMEOUT
00032,2096,4039,445081,0,447414,0,4039,TIMEOUT
00033,12339,9462,60141,5177,60557,1,9463,TIMEOUT
00034,12339,9364,318039,58301,305626,45097,54461,TIMEOUT
00035,12339,9462,54224,4620,54571,1,9463,TIMEOUT
00036,12329,9456,47972,5951,48261,1,9457,TIMEOUT
00037,12323,9445,61210,5762,61565,1,9446,TIMEOUT
00038,12339,9457,41709,3995,42078,1,9458,TIMEOUT
00039,2437,4826,768742,0,773270,0,4826,TIMEOUT
00040,43622,100787,28769,1594,29631,0,100787,TIMEOUT
00041,14319,67437,103219,433,108950,427,67864,TIMEOUT
00042,15417,71082,86331,822,91646,813,71895,TIMEOUT
00043,18612,115810,66098,512,71633,490,116300,TIMEOUT
00044,14319,67400,76032,433,81557,427,67827,TIMEOUT
00045,42430,98673,34781,6087,33430,194,98867,TIMEOUT
00046,15352,69253,75395,433,80643,427,69680,TIMEOUT
00047,14431,67545,85655,435,90199,427,67972,TIMEOUT
00048,14739,70578,112214,438,117918,432,71010,TIMEOUT
00049,15,51,104,33,79,8,59,289
00050,15,51,104,33,79,8,59,318
00051,0,0,0,0,0,0,0,54
00052,3764,25233,20245,0,20243,0,25233,9052
00053,0,1129,0,0,0,0,1129,152
00054,0,3,0,0,0,0,3,88
00055,23,212,59,9,62,2,214,212
00056,0,12,0,0,0,0,12,65
00057,3,11,6,0,6,0,11,196
00058,3,7,3,0,3,0,7,83
00059,5,47,5,0,5,0,47,109
00060,9,72,10,0,10,0,72,123
00061,0,6,0,0,0,0,6,66
00062,11,72,11,0,11,0,72,113
00063,12,61,12,0,12,0,61,111
00064,0,3,0,0,0,0,3,83
00065,3,12,5,0,5,0,12,92
00066,1,20,1,0,1,0,20,110
00067,0,24,0,0,0,0,24,78
00068,2,33,2,0,2,0,33,87
00069,1,8,1,0,1,0,8,98
00070,0,42,0,0,0,0,42,77
00071,1,14,1,0,1,0,14,96
00072,1,31,1,0,1,0,31,107
00073,6,77,8,3,6,1,78,152
00074,0,21,0,0,0,0,21,72
00075,2,125,2,1,2,1,126,120
