NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00001,254,2884,1807,368,5098,72,2956,1705
00002,432,1745,1868,982,5066,170,1915,1374
00003,16709,35747,8939,85935,86354,0,35747,TIMEOUT
00004,16705,35687,8747,75178,68412,0,35687,TIMEOUT
00005,16705,35687,9670,96147,98146,0,35687,TIMEOUT
00006,1075,2315,0,0,2152,0,2315,1756
00007,22,170,16,21,45,12,182,163
00008,22,170,16,21,45,12,182,226
00009,22,170,16,21,45,12,182,169
00010,22,170,16,21,45,12,182,164
00011,22,170,16,21,45,12,182,161
00012,13,277,9,13,27,8,285,189
00013,76,1421,2510,1254,3492,125,1546,1729
00014,139,1794,5163,2748,7161,234,2026,1985
00015,13,371,236,127,321,19,390,240
00016,65,1189,2111,1037,2928,105,1294,888
00017,65,1311,2111,1040,2928,105,1416,883
00018,85,1295,2671,1395,3684,146,1439,1746
00019,68,1218,2280,1142,3171,109,1327,1680
00020,83,1478,3164,1530,4423,143,1621,1889
00021,110,1395,3586,1862,4946,176,1569,1583
00022,13,451,236,127,321,19,470,317
00023,13,455,236,127,321,19,474,268
00024,139,1794,5164,2753,7161,234,2026,2297
00025,68,1083,764,255,1129,73,1156,427
00026,23858,89933,603,80081,9852,0,89933,TIMEOUT
00027,23858,90883,4368,77935,12714,0,90883,TIMEOUT
00028,23858,90883,3724,65876,11016,0,90883,TIMEOUT
00029,1776,8923,39117,282880,91786,2073,10996,TIMEOUT
00030,2096,9212,8961,308665,52930,1908,11120,TIMEOUT
00031,2096,9212,8937,305761,52752,1910,11122,TIMEOUT
00032,2096,9625,42550,260897,104200,1642,11267,TIMEOUT
00033,12339,36418,4828,264876,34204,0,36418,TIMEOUT
00034,12339,36320,2558,335940,42776,0,36320,TIMEOUT
00035,12339,36418,4795,261937,34056,0,36418,TIMEOUT
00036,12329,36388,4766,259910,33884,0,36388,TIMEOUT
