NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1697,368,4306,72,2540,137,122,562
00002,834,941,1858,982,3832,170,1111,115,120,561
00003,33588,2159,1447368,3990903,2240945,1621,3780,54427,528589,TIMEOUT
00004,33580,2107,1687324,4436152,2208206,2150,4257,63776,519878,TIMEOUT
00005,33580,2107,1495245,4264603,2127296,1605,3712,59772,524593,TIMEOUT
00006,2150,165,0,0,0,0,165,1,1,252
00007,23,168,16,21,24,12,180,4,6,137
00008,23,168,16,21,24,12,180,4,6,137
00009,23,168,16,21,24,12,180,4,5,137
00010,23,168,16,21,24,12,180,4,6,146
00011,23,168,16,21,24,12,180,4,5,141
00012,13,277,5,13,11,8,285,3,4,140
00013,157,1265,2509,1257,3335,125,1390,116,87,432
00014,278,1533,5164,2752,6898,234,1765,216,182,672
00015,26,345,223,127,271,19,364,23,26,198
00016,135,1055,2109,1037,2791,105,1160,99,58,382
00017,135,1177,2108,1038,2791,105,1282,118,76,435
00018,171,1129,2672,1391,3518,146,1273,123,91,443
00019,141,1078,2276,1137,3028,109,1187,116,86,425
00020,173,1310,3165,1533,4255,143,1453,147,105,489
00021,218,1190,3583,1858,4739,176,1364,153,127,539
00022,26,425,223,127,271,19,444,18,16,197
00023,26,429,223,127,271,19,448,20,17,192
00024,278,1533,5164,2751,6898,234,1765,230,185,710
00025,116,987,737,255,940,73,1060,35,24,255
00026,59236,30697,10889,2459773,143020,0,30697,32832,551704,TIMEOUT
00027,59236,31647,91221,2577313,230653,0,31647,35014,548207,TIMEOUT
00028,59236,31647,88467,2513275,223494,0,31647,35186,547330,TIMEOUT
00029,4884,4039,88633,1237620,84606,4861,8900,14125,156431,176208
00030,5586,3626,70643,1538987,44100,4861,8487,17168,197213,221152
00031,5586,3626,69437,1538953,42957,4861,8487,17338,208409,233058
00032,5586,4039,106637,1548753,99383,4861,8900,17015,218615,242555
00033,26956,9462,40163,2731379,217861,0,9462,40040,544540,TIMEOUT
00034,26956,9364,36658,2964308,190200,5917,15281,38722,549045,TIMEOUT
00035,26956,9462,40702,2766234,220831,0,9462,38608,546708,TIMEOUT
00036,26932,9456,52041,2856847,237595,60,9516,39526,545543,TIMEOUT
00037,26916,9445,53084,2938759,236672,311,9756,42160,543467,TIMEOUT
00038,26966,9457,52179,2885317,240117,61,9518,39726,544728,TIMEOUT
00039,6858,4826,19693,251022,52727,3810,8636,2971,13052,17977
00040,87244,100787,4830,1205983,18184,376,101163,14074,573975,TIMEOUT
00041,28638,67437,10502,3394272,32414,0,67437,42433,535354,TIMEOUT
00042,30834,71082,12742,3225899,39522,386,71468,44677,533737,TIMEOUT
00043,37224,115810,9209,2868246,24136,0,115810,39879,539104,TIMEOUT
00044,28638,67400,10479,3422838,29266,0,67400,43750,532982,TIMEOUT
00045,84860,98673,4452,1291028,17196,376,99049,16560,571614,TIMEOUT
00046,30704,69253,9630,3281728,26583,0,69253,43723,532587,TIMEOUT
00047,28865,67547,10229,3358736,28388,0,67547,43982,534163,TIMEOUT
00049,30,51,84,49,104,10,61,16,14,155
00050,30,51,84,49,104,10,61,17,13,153
00051,0,0,0,0,0,0,0,0,0,52
00052,7528,25233,4159,0,21094,0,25233,358,378,2403
00053,0,1129,0,0,0,0,1129,0,0,162
00054,0,3,0,0,0,0,3,0,0,70
00055,46,212,30,13,56,3,215,6,7,157
00056,0,12,0,0,0,0,12,0,0,74
00057,3,11,5,3,9,1,12,2,3,87
00058,3,7,2,3,0,1,8,1,2,95
00059,5,47,3,5,0,2,49,1,2,104
00060,9,72,6,9,1,3,75,2,3,127
00061,0,6,0,0,0,0,6,0,0,71
00062,11,72,7,11,0,4,76,3,2,117
00063,12,61,8,12,0,4,65,3,4,121
00064,0,3,0,0,0,0,3,0,0,72
00065,3,12,4,3,4,1,13,2,2,94
00066,1,20,0,1,0,1,21,1,2,95
00067,0,24,0,0,0,0,24,0,0,79
00068,2,33,0,0,0,0,33,1,0,99
00069,1,8,0,1,0,1,9,1,2,91
00070,0,42,0,0,0,0,42,0,0,81
00071,1,14,0,1,0,1,15,1,2,93
00072,1,31,0,1,0,1,32,1,2,100
00073,6,77,3,6,0,3,80,2,3,120
00074,0,21,0,0,0,0,21,0,0,76
00075,2,125,0,2,0,2,127,1,3,121
00076,0,186,0,0,0,0,186,0,0,106
