NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00001,2206,9466,86870,87425,33575,341,9807,10,4112,48507,56898
00002,4769,3671,73521,86358,17828,1307,4978,10,5150,64019,94181
00003,133458,9812,9981,462470,1434,0,9812,7,19170,551026,TIMEOUT
00004,175402,7275,9044,506180,863,0,7275,9,18525,552725,TIMEOUT
00005,202986,7998,26140,586505,1008795,0,7998,9,34203,515469,TIMEOUT
00006,5027,639,6,8,0,0,639,4,3,3,798
00007,119,501,292,415,87,0,501,8,67,65,372
00008,110,577,372,524,120,0,577,9,71,86,527
00009,116,463,205,324,68,0,463,8,54,52,436
00010,143,519,517,671,118,0,519,9,173,102,623
00011,134,549,583,732,114,0,549,9,226,140,806
00012,79,859,185,260,38,0,859,8,39,48,402
00013,643,5543,168685,160843,36546,495,6038,10,10021,144889,168375
00014,1308,7400,346043,299647,106049,1396,8796,11,15371,569243,TIMEOUT
00015,110,1497,7438,7723,1726,80,1577,9,626,1020,2590
00016,581,4525,102064,97125,28401,664,5189,11,5447,82364,93268
00017,551,5559,105534,105293,26140,971,6530,10,6530,95131,107439
00018,738,5046,108499,110862,25153,781,5827,11,6808,114919,130444
00019,635,5068,227733,212817,48515,636,5704,10,15256,182674,215416
00020,831,5975,404501,381984,72223,1370,7345,13,29321,534937,TIMEOUT
00021,1025,5688,447502,395196,98978,1255,6943,11,22516,546147,TIMEOUT
00022,135,1738,7589,7762,1655,76,1814,10,615,1049,2401
00023,142,1850,12210,12474,1971,87,1937,10,904,1611,3351
00024,1370,7039,248080,234978,76539,1632,8671,10,14988,561999,TIMEOUT
00025,515,4154,19263,21118,4896,146,4300,10,1277,5978,8754
00026,276503,121603,89,206520,385,20,121623,12,12411,563033,TIMEOUT
00027,267473,129941,135,237933,703,44,129985,11,10626,559137,TIMEOUT
00028,270398,131121,144,278589,1134,90,131211,12,13056,555830,TIMEOUT
00029,21566,17296,31056,185083,24562,1203,18499,12,9116,580041,TIMEOUT
00030,26951,15044,37808,285945,29454,1447,16491,12,11339,572450,TIMEOUT
00031,25856,15456,103571,318697,41944,1511,16967,12,13280,571334,TIMEOUT
00032,27415,17553,97869,273316,60079,1366,18919,12,15127,563577,TIMEOUT
00033,124580,39279,103,339547,1218,40,39319,11,14736,565753,TIMEOUT
00034,111699,37551,101,234353,386,0,37551,11,11635,575723,TIMEOUT
00035,118559,40908,37,208185,821,20,40928,11,10423,573502,TIMEOUT
00036,116576,38612,10,186168,487,20,38632,11,8568,576034,TIMEOUT
00037,121765,41874,287,265092,1078,295,42169,11,11186,575824,TIMEOUT
00038,121481,43468,74,316482,617,11,43479,11,13807,569720,TIMEOUT
00039,30167,19855,58518,231368,38499,1130,20985,12,11430,575218,TIMEOUT
00040,432032,367636,46,112436,68,0,367636,8,6544,594890,TIMEOUT
00041,100417,269227,59,178990,22,0,269227,5,6941,574361,TIMEOUT
00042,101365,262243,133,284944,59,0,262243,8,7457,595774,TIMEOUT
00043,192918,414043,17,77670,0,0,414043,9,4717,578176,TIMEOUT
00044,120323,243279,99,145118,4,0,243279,7,4645,586957,TIMEOUT
00045,374857,392489,36,77412,73,0,392489,10,4076,614273,TIMEOUT
00046,128324,242701,118,125035,3,0,242701,7,5419,578153,TIMEOUT
00047,128480,261853,17,97731,0,0,261853,8,5220,576172,TIMEOUT
00049,103,182,6840,6629,1596,44,226,8,523,663,1562
00050,148,186,2710,2844,643,54,240,8,436,181,1020
00051,0,0,0,0,0,0,0,0,0,0,13
00052,17243,87590,168905,219289,89108,0,87590,5,8342,57883,76900
00053,0,4862,0,0,0,0,4862,0,0,0,604
00054,0,6,0,0,0,0,6,0,0,0,39
00055,201,760,822,966,160,10,770,8,159,85,502
00056,0,12,0,0,0,0,12,0,0,0,41
00057,14,34,32,61,21,0,34,7,27,8,136
00058,13,19,7,25,0,0,19,6,17,3,98
00059,23,73,14,37,0,0,73,7,10,4,113
00060,60,176,120,174,23,0,176,8,38,16,213
00061,0,6,0,0,0,0,6,0,0,0,43
00062,53,176,33,85,0,0,176,9,16,7,143
00063,55,185,78,157,18,0,185,7,29,14,191
00064,0,3,0,0,0,0,3,0,0,0,35
00065,18,45,178,202,29,0,45,10,49,20,189
00066,2,71,0,7,0,0,71,1,3,2,98
00067,0,24,0,0,0,0,24,0,0,0,48
00068,2,116,0,0,0,0,116,0,1,0,97
00069,5,24,3,9,0,0,24,4,5,2,82
00070,0,95,0,0,0,0,95,0,0,0,72
00071,3,43,1,7,0,0,43,2,3,2,84
00072,4,91,2,6,0,0,91,3,2,2,90
00073,30,152,29,50,0,5,157,8,11,7,139
00074,0,28,0,0,0,0,28,0,0,0,44
00075,10,434,31,43,0,5,439,5,9,8,139
00076,0,670,0,0,0,0,670,0,0,0,118
00077,0,4,0,0,0,0,4,0,0,0,37
00078,173,2431,4618,6655,910,1181,3612,8,343,1849,2810
00079,14,81,10,12,0,0,81,6,5,3,105
00080,0,94,0,0,0,0,94,0,0,0,96
00081,503,1610,537,1002,84,0,1610,10,107,112,586
00082,782,999,5076,7672,2143,7,1006,8,446,1503,2453
00083,0,15,0,0,0,0,15,0,0,0,40
00084,0,11,0,0,0,0,11,0,0,0,39
00085,0,2,0,0,0,0,2,0,0,0,36
00086,0,0,0,0,0,0,0,0,0,0,13
00087,0,154,0,0,0,0,154,0,0,0,77
00088,0,216,0,0,0,0,216,0,0,0,78
00089,0,130,0,0,0,0,130,0,0,0,78
00090,0,99,0,0,0,0,99,0,0,0,72
00091,0,53,0,0,0,0,53,0,0,0,75
00092,0,32,0,0,0,0,32,0,0,0,46
00093,0,617,0,0,0,0,617,0,0,0,132
00094,68,382,210,302,53,14,396,7,43,38,232
00095,0,124,0,0,0,0,124,0,0,0,72
00096,0,0,0,0,0,0,0,0,0,0,13
00097,0,0,0,0,0,0,0,0,0,0,13
00098,0,0,0,0,0,0,0,0,0,0,13
00099,0,0,0,0,0,0,0,0,0,0,12
00100,0,0,0,0,0,0,0,0,0,0,13
00101,0,0,0,0,0,0,0,0,0,0,13
00102,0,0,0,0,0,0,0,0,0,0,14
00103,0,439,0,0,0,0,439,0,0,0,110
00104,0,3398,0,0,0,0,3398,0,0,0,347
00105,0,13,0,0,0,0,13,0,0,0,42
00106,26,128,208,241,32,2,130,6,52,22,212
00107,0,53,0,0,0,0,53,0,0,0,72
00108,0,39,0,0,0,0,39,0,0,0,51
00109,0,133,0,0,0,0,133,0,0,0,81
00110,666,924,5162,7049,2237,5,929,6,404,1161,2051
00111,0,103,0,0,0,0,103,0,0,0,75
00112,96,296,578,679,84,24,320,11,109,67,353
00113,30,33,12,20,0,0,33,7,7,4,96
00114,246,77,4680,5635,439,192,269,11,740,601,1863
00115,0,613,0,0,0,0,613,0,0,0,133
00116,92,95,550,670,23,46,141,9,122,50,339
