NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1697,368,4306,72,2540,146,239,1177
00002,834,941,1858,982,3832,170,1111,265,244,1369
00003,33588,2159,1173455,2483483,2149023,962,3121,215495,318643,TIMEOUT
00004,33580,2107,1214962,2446689,2084313,1308,3415,267980,270418,TIMEOUT
00005,33580,2107,1185240,2650016,2054484,979,3086,258173,279993,TIMEOUT
00006,2150,165,0,0,0,0,165,1,0,657
00007,23,168,16,21,24,12,180,8,11,291
00008,23,168,16,21,24,12,180,5,13,598
00009,23,168,16,21,24,12,180,5,9,232
00010,23,168,16,21,24,12,180,4,5,180
00011,23,168,16,21,24,12,180,9,18,250
00012,13,277,5,13,11,8,285,4,8,304
00013,157,1265,2492,1247,3333,125,1390,351,144,999
00014,278,1533,5121,2712,6893,234,1765,499,220,1215
00015,26,345,223,127,271,19,364,28,23,347
00016,135,1055,2096,1029,2790,105,1160,239,108,762
00017,135,1177,2094,1031,2790,105,1282,212,165,855
00018,171,1129,2656,1380,3515,146,1273,258,101,745
00019,141,1078,2259,1129,3025,109,1187,409,147,1340
00020,173,1310,3152,1525,4253,143,1453,310,123,883
00021,218,1190,3563,1833,4736,176,1364,336,124,939
00022,26,425,223,127,271,19,444,29,30,345
00023,26,429,223,127,271,19,448,26,20,291
00024,278,1533,5127,2724,6891,234,1765,421,184,1117
00025,116,987,737,255,940,73,1060,48,33,469
00026,59236,30697,10248,2338749,134318,0,30697,31358,550666,TIMEOUT
00027,59236,31647,88443,2512699,223393,0,31647,34352,546754,TIMEOUT
00028,59236,31647,87419,2480545,220770,0,31647,34414,543970,TIMEOUT
00029,4884,4039,56113,1222452,84501,4855,8894,76269,136581,228345
00030,5586,3626,29030,1520372,42604,4856,8482,104889,200013,328686
00031,5586,3626,29505,1520537,43530,4854,8480,100615,207521,327444
00032,5586,4039,65391,1529570,98907,4856,8895,112743,188164,324773
00033,26956,9462,44632,2827379,230641,25,9487,73660,498958,TIMEOUT
