NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1697,368,4306,72,2540,118,96,533
00002,834,941,1858,982,3832,170,1111,118,103,510
00003,33588,2159,1535129,4317453,2258484,1855,4014,56009,528715,TIMEOUT
00004,33580,2107,1506032,4445822,2131775,1714,3821,59436,525121,TIMEOUT
00005,33580,2107,1677957,4690564,2216918,2331,4438,61507,522397,TIMEOUT
00006,2150,165,0,0,0,0,165,1,0,271
00007,23,168,16,21,24,12,180,4,5,136
00008,23,168,16,21,24,12,180,4,6,141
00009,23,168,16,21,24,12,180,4,6,141
00010,23,168,16,21,24,12,180,4,6,137
00011,23,168,16,21,24,12,180,4,6,142
00012,13,277,5,13,11,8,285,3,4,142
00013,157,1267,2488,1258,3325,127,1394,135,106,523
00014,278,1537,5076,2734,6843,237,1772,283,206,813
00015,26,345,223,127,271,19,364,20,18,196
00016,135,1056,2106,1040,2791,106,1162,96,85,420
00017,135,1178,2104,1037,2790,106,1284,113,80,455
00018,171,1130,2667,1393,3516,147,1275,132,91,462
00019,141,1079,2273,1138,3027,110,1189,109,67,404
00020,173,1312,3125,1522,4237,145,1457,142,99,471
00021,218,1192,3574,1863,4732,177,1367,164,120,548
00022,26,425,223,127,271,19,444,20,16,199
00023,26,429,223,127,271,19,448,19,16,194
00024,278,1537,5075,2730,6843,237,1772,238,172,697
00025,116,987,737,255,940,73,1060,32,20,249
00026,59236,30697,12455,2816531,166142,0,30697,35609,547418,TIMEOUT
00027,59236,31647,89459,2538914,226000,0,31647,32606,551937,TIMEOUT
00028,59236,31647,93461,2636219,236312,0,31647,32245,551196,TIMEOUT
00029,4884,4125,39473,331934,83799,2859,6984,3992,13780,19957
00030,5586,3717,12181,432797,43695,2866,6583,4239,18188,24753
00031,5586,3717,11627,432803,43133,2866,6583,4770,17842,24971
00032,5586,4130,47813,440757,99851,2866,6996,4920,17658,24973
00033,26956,9462,72154,3177681,255301,3429,12891,44361,539735,TIMEOUT
00034,26956,9364,31787,3145092,181617,6337,15701,37108,547183,TIMEOUT
00035,26956,9462,59164,3049752,246278,308,9770,41112,542597,TIMEOUT
00036,26932,9456,53563,3104285,240429,371,9827,42242,541409,TIMEOUT
00037,26916,9445,50618,3029978,235751,741,10186,40581,543447,TIMEOUT
00038,26966,9457,73834,3222990,255599,3846,13303,42888,539410,TIMEOUT
00039,6858,4826,19656,251033,52680,3810,8636,3295,11936,17249
00040,87244,100788,4882,1335819,18539,376,101164,15793,570328,TIMEOUT
00041,28638,67437,11658,3576533,35604,0,67437,45165,531739,TIMEOUT
00042,30834,71082,13326,3386581,41340,386,71468,42100,536746,TIMEOUT
00043,37224,115810,9237,2903022,24307,0,115810,35773,543710,TIMEOUT
00044,28638,67400,12214,3701482,33902,0,67400,45907,531000,TIMEOUT
00045,84860,98674,4562,1454506,17813,387,99061,15424,571455,TIMEOUT
00046,30704,69253,9629,3280425,26581,0,69253,39583,540431,TIMEOUT
00047,28865,67547,11129,3532616,31114,0,67547,42035,534826,TIMEOUT
00049,30,51,84,49,104,10,61,21,17,169
00050,30,51,84,49,104,10,61,17,14,156
00051,0,0,0,0,0,0,0,0,0,56
00052,7528,25233,4159,0,21094,0,25233,270,419,2483
00053,0,1129,0,0,0,0,1129,0,0,158
00054,0,3,0,0,0,0,3,0,0,69
00055,46,212,30,13,56,3,215,7,7,148
00056,0,12,0,0,0,0,12,0,0,71
00057,3,11,5,3,9,1,12,2,3,87
00058,3,7,2,3,0,1,8,1,2,91
00059,5,47,3,5,0,2,49,1,2,99
00060,9,72,6,9,1,3,75,2,3,125
00061,0,6,0,0,0,0,6,0,0,70
00062,11,72,7,11,0,4,76,2,2,114
00063,12,61,8,12,0,4,65,3,3,118
00064,0,3,0,0,0,0,3,0,0,69
00065,3,12,4,3,4,1,13,2,2,100
00066,1,20,0,1,0,1,21,1,2,92
00067,0,24,0,0,0,0,24,0,0,74
00068,2,33,0,0,0,0,33,1,0,98
00069,1,8,0,1,0,1,9,1,2,87
