NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1697,368,4306,72,2540,156,167,784
00002,834,941,1858,982,3832,170,1111,199,181,814
00003,33588,2159,2874636,1074776,5050362,847,3006,73713,493517,TIMEOUT
00004,33580,2107,3147760,1128410,5470940,730,2837,75210,501417,TIMEOUT
00005,33580,2107,2567739,2006723,4530059,529,2636,76943,498385,TIMEOUT
00006,2150,165,0,0,0,0,165,1,0,381
00007,23,168,16,21,24,12,180,4,6,157
00008,23,168,16,21,24,12,180,5,6,164
00009,23,168,16,21,24,12,180,4,6,202
00010,23,168,16,21,24,12,180,5,6,197
00011,23,168,16,21,24,12,180,11,5,167
00012,13,277,5,13,11,8,285,3,4,197
00013,157,1265,3378,1701,4078,125,1390,249,187,800
00014,278,1533,8617,3922,10335,234,1765,382,313,1153
00015,26,345,223,108,271,19,364,28,20,247
00016,135,1055,2659,1087,3410,105,1160,150,126,610
00017,135,1177,2704,1022,3475,105,1282,171,137,671
00018,171,1129,3309,1436,4260,146,1273,211,166,756
00019,141,1078,3177,1844,3450,109,1187,220,126,673
00020,173,1310,4673,1958,5824,143,1453,281,274,917
00021,218,1190,4254,1915,5620,176,1364,454,294,1205
00022,26,425,223,108,271,19,444,32,28,394
00023,26,429,223,108,271,19,448,30,26,290
00024,278,1533,8453,4178,10053,234,1765,551,385,1464
00025,116,987,737,255,940,73,1060,51,34,377
00026,59236,30697,7685,1622165,275410,0,30697,26964,555020,TIMEOUT
00027,59236,31647,63848,1140350,700806,0,31647,25898,558316,TIMEOUT
00028,59236,31647,70846,1299014,809010,0,31647,28032,554580,TIMEOUT
00029,4884,4039,1068674,2334571,418562,4861,8900,36402,388351,436145
00030,5586,3626,486044,2042043,286677,4861,8487,28756,336853,377166
00031,5586,3626,1209673,2975458,421523,4861,8487,42033,543141,TIMEOUT
00032,5586,4039,1450160,2542526,552148,3557,7596,49471,534843,TIMEOUT
00033,26956,9462,28212,1132968,924727,0,9462,41166,536555,TIMEOUT
00034,26956,9364,181081,2118016,556594,527,9891,39884,538460,TIMEOUT
00035,26956,9462,37425,1503581,1231832,0,9462,37709,542444,TIMEOUT
00036,26932,9456,41681,1647216,1384273,0,9456,42739,536054,TIMEOUT
00037,26916,9445,96403,1676325,1564026,0,9445,46246,531077,TIMEOUT
00038,26966,9457,283955,1696940,1839933,0,9457,48854,527039,TIMEOUT
00039,6858,4826,4796554,3331087,2699284,3746,8572,71510,508758,TIMEOUT
00040,87244,100787,4896,1031683,175154,376,101163,14330,570591,TIMEOUT
00041,28638,67437,10969,3275445,209490,0,67437,44707,528968,TIMEOUT
00042,30834,71082,13372,3216372,214045,386,71468,44317,529492,TIMEOUT
00043,37224,115810,9439,2843222,134420,0,115810,38216,538061,TIMEOUT
00044,28638,67400,10092,3123749,200135,0,67400,42314,532250,TIMEOUT
00045,84860,98673,4551,1169987,176669,376,99049,15031,571622,TIMEOUT
00046,30704,69253,9831,3156490,204509,0,69253,46262,526146,TIMEOUT
00047,28865,67547,9679,3054133,170493,0,67547,44627,526939,TIMEOUT
00049,30,51,84,49,104,10,61,21,24,231
00050,30,51,84,49,104,10,61,18,19,195
00051,0,0,0,0,0,0,0,0,0,55
00052,7528,25233,4159,0,21094,0,25233,356,478,2763
00053,0,1129,0,0,0,0,1129,0,0,186
00054,0,3,0,0,0,0,3,0,0,73
00055,46,212,30,13,56,3,215,8,7,161
00056,0,12,0,0,0,0,12,0,0,83
00057,3,11,5,3,9,1,12,2,3,86
00058,3,7,2,3,0,1,8,1,2,99
00059,5,47,3,5,0,2,49,2,3,138
00060,9,72,6,9,1,3,75,2,3,162
00061,0,6,0,0,0,0,6,0,0,73
00062,11,72,7,11,0,4,76,3,3,127
00063,12,61,8,12,0,4,65,3,3,132
00064,0,3,0,0,0,0,3,0,0,70
00065,3,12,4,3,4,1,13,2,3,104
